CompoundIntransitive,Affix,SubjMarker
Prefix,Compound,Affirmative,ImperfectPresent
Prefix,Compound,Affirmative,ImperfectProbable1
Prefix,Compound,Affirmative,ImperfectProbable2
Prefix,Compound,Affirmative,Intentive
Prefix,Compound,Affirmative,PerfectAnticipatory
Prefix,Compound,Affirmative,PerfectConditional
Prefix,Compound,Affirmative,PerfectPast1
Prefix,Compound,Affirmative,PerfectPast2
Prefix,Compound,Affirmative,PerfectPresent
Prefix,Compound,Affirmative,PerfectProbable
Prefix,Compound,Negative,Conditional1
Prefix,Compound,Negative,Conditional2
Prefix,Compound,Negative,Contrafactual
Prefix,Compound,Negative,Hypothetical
Prefix,Compound,Negative,ImperfectAnticipatory
Prefix,Compound,Negative,ImperfectPast1
Prefix,Compound,Negative,ImperfectPast2
Prefix,Compound,Negative,ImperfectPresent
Prefix,Compound,Negative,ImperfectProbable1
Prefix,Compound,Negative,ImperfectProbable2
Prefix,Compound,Negative,Intentive
Prefix,Compound,Negative,Jussive
Prefix,Compound,Negative,PerfectAnticipatory
Prefix,Compound,Negative,PerfectConditional
Prefix,Compound,Negative,PerfectPast1
Prefix,Compound,Negative,PerfectPast2
Prefix,Compound,Negative,PerfectPresent
Prefix,Compound,Negative,PerfectProbable
Prefix,Compound,Negative,Purposive1
Prefix,Compound,Negative,Purposive2
Prefix,Imperfect
Prefix,Negative,Anticipatory
Prefix,Negative,Imperative
Prefix,Negative,Imperfect
Prefix,Negative,Perfect
Prefix,Negative,Requestive
Prefix,Perfect
Stative,Affirmative,PresentState1
Stative,Affix,SubjMarker
Stative,Compound,Affirmative,ContrafactualStative
Stative,Compound,Affirmative,PastState1
Stative,Compound,Affirmative,PastState2
Stative,Compound,Affirmative,PresentState2
Stative,Compound,Affirmative,Probable
Stative,Compound,Negative,Contrafactual
Stative,Compound,Negative,PastState1
Stative,Compound,Negative,PastState2
Stative,Compound,Negative,PresentState2
Stative,Compound,Negative,Probable
Stative,Negative,PresentState1
Suffix,Affirmative,Conditional1
Suffix,Affirmative,Contrafactual
Suffix,Affirmative,Imperative
Suffix,Affirmative,Imperfect
Suffix,Affirmative,Jussive
Suffix,Affirmative,Perfect
Suffix,Affirmative,Purposive1
Suffix,Affirmative,Purposive2
Suffix,Affirmative,Requestive
Suffix,Affix,SubjMarker
Suffix,Compound,Affirmative,Anticipatory
Suffix,Compound,Affirmative,Conditional2
Suffix,Compound,Affirmative,Hypothetical
Suffix,Compound,Affirmative,ImperfectAnticipatory
Suffix,Compound,Affirmative,ImperfectPast1
Suffix,Compound,Affirmative,ImperfectPast2
Suffix,Compound,Affirmative,ImperfectPresent
Suffix,Compound,Affirmative,ImperfectProbable1
Suffix,Compound,Affirmative,ImperfectProbable2
Suffix,Compound,Affirmative,Intentive
Suffix,Compound,Affirmative,PerfectAnticipatory
Suffix,Compound,Affirmative,PerfectConditional
Suffix,Compound,Affirmative,PerfectPast1
Suffix,Compound,Affirmative,PerfectPast2
Suffix,Compound,Affirmative,PerfectPresent
Suffix,Compound,Affirmative,PerfectProbable
Suffix,Compound,Negative,Conditional1
Suffix,Compound,Negative,Conditional2
Suffix,Compound,Negative,Contrafactual
Suffix,Compound,Negative,Hypothetical
Suffix,Compound,Negative,ImperfectAnticipatory
Suffix,Compound,Negative,ImperfectPast1
Suffix,Compound,Negative,ImperfectPast2
Suffix,Compound,Negative,ImperfectPresent
