conjClass,derivedStem,nonFiniteForm,polarity,tam,lex
Irregular,Copula,li
Prefix,M,Affirmative,Perfect,oofo
Prefix,M,Affirmative,Perfect,ookom
Prefix,M,Affirmative,Perfect,ooog
Prefix,M,Affirmative,Perfect,unqusu
Prefix,S1,Affirmative,Imperative,alaa
Prefix,S1,Affirmative,Imperative,eedeg
Prefix,S1,Affirmative,Imperative,eeneb
Prefix,S1,Affirmative,Imperative,ehzen
Prefix,S1,Affirmative,Imperative,ekett
Prefix,S1,Affirmative,Imperative,eyme
Prefix,S1,Affirmative,Imperative,ibbid
Prefix,S1,Affirmative,Imperative,ifrid
Prefix,S1,Affirmative,Imperative,ifriy
Prefix,S1,Affirmative,Imperative,ifteh
Prefix,S1,Affirmative,Imperative,igdif
Prefix,S1,Affirmative,Imperative,iksib
Prefix,S1,Affirmative,Imperative,obb
Prefix,S1,Affirmative,Imperative,oofo
Prefix,S1,Affirmative,Imperative,ootob
Prefix,S1,Affirmative,Imperative,ootok
Prefix,S1,Affirmative,Imperative,oysoom
Prefix,S1,Affirmative,Imperative,ubl
Prefix,S1,Affirmative,Imperative,uysuku
Prefix,S1,Affirmative,Imperfect,aymaa
Prefix,S1,Affirmative,Imperfect,ehzen
Prefix,S1,Affirmative,Imperfect,ubl
Prefix,S1,Affirmative,Imperfect,yaysud
Prefix,S1,Affirmative,Jussive,ehzen
Prefix,S1,Affirmative,Jussive,yaysadad
Prefix,S1,Affirmative,JussiveKi,ehzen
Prefix,S1,Negative,Imperative,igdil
Prefix,S1-Intens,Affirmative,Imperative,eeley
Prefix,S1-Intens,Affirmative,Imperative,ookom
Prefix,S1-Intens,Affirmative,Imperative,usul
Prefix,T,Affirmative,Imperative,edirir
Prefix,T,Affirmative,Imperative,eyteher
Prefix,T,Affirmative,Imperative,iggire
Prefix,T-Intens,Affirmative,Imperative,igdil
Suffix,Copula,ki
Suffix,Jussive,ak
Suffix,Past,hab
Suffix,Past,ubl
Suffix,Perfect,ak
Suffix,B,Affirmative,Imperative,ab
Suffix,B,Affirmative,Imperative,abaar
Suffix,B,Affirmative,Imperative,abaas
Suffix,B,Affirmative,Imperative,abah
Suffix,B,Affirmative,Imperative,baah
Suffix,B,Affirmative,Imperative,biil
Suffix,B,Affirmative,Imperative,daam
Suffix,B,Affirmative,Imperative,deer
Suffix,B,Affirmative,Imperative,di
Suffix,B,Affirmative,Imperative,do
Suffix,B,Affirmative,Imperative,fu
Suffix,B,Affirmative,Imperfect,ab
Suffix,B,Affirmative,Imperfect,alif
